Proteins,regulator,"Genes of polypeptide, complex, or RNA",Bnb,Gene,Category,Effectors
DNA-binding transcriptional dual regulator SdiA,SdiA,sdiA,b1916,sdiA,TF,
DNA-binding transcriptional dual regulator SgrR,SgrR,sgrR,b0069,sgrR,TF,
DNA-binding transcriptional dual regulator SlyA,SlyA,slyA,b1642,slyA,TF,
DNA-binding transcriptional dual regulator SoxR,SoxR,soxR,b4063,soxR,TF,
DNA-binding transcriptional dual regulator SoxS,SoxS,soxS,b4062,soxS,TF,
DNA-binding transcriptional repressor SrlR,SrlR,srlR,b2707,srlR,TF,D-sorbitol
DNA-binding transcriptional repressor StpA with RNA chaperone activity,StpA,stpA,b2669,stpA,TF,
DNA-binding transcriptional dual regulator SutR,SutR,sutR,b1434,sutR,TF,
DNA-binding transcriptional activator TdcA,TdcA,tdcA,b3118,tdcA,TF,
DNA-binding transcriptional activator TdcR,TdcR,tdcR,b3119,tdcR,TF,
DNA-binding transcriptional dual regulator TorR,TorR,torR,b0995,torR,TF,phosphate
DNA-binding transcriptional repressor TreR,TreR,treR,b4241,treR,TF,D-trehalose 6-phosphate
DNA-binding transcriptional repressor TrpR-L-tryptophan,TrpR,trpR,b4393,trpR,TF,L-tryptophan
Dan-L-tartrate DNA-binding transcriptional activator,TtdR,ttdR,b3060,ttdR,TF,L-tartrate
DNA-binding transcriptional dual regulator TyrR,TyrR,tyrR,b1323,tyrR,TF,L-phenylalanine // L-tyrosine
DNA-binding transcriptional activator UhpA-phosphorylated,UhpA,uhpA,b3669,uhpA,TF,phosphate
DNA-binding transcriptional repressor UidR,UidR,uidR,b1618,uidR,TF,
DNA-binding transcriptional repressor UlaR,UlaR,ulaR,b4191,ulaR,TF,L-ascorbate 6-phosphate
DNA-binding transcriptional activator UvrY-phosphorylated,UvrY,uvrY,b1914,uvrY,TF,phosphate
DNA-binding transcriptional repressor UxuR,UxuR,uxuR,b4324,uxuR,TF,&alpha;-D-glucuronate // &alpha;-D-galacturonate // D-fructuronate
XapR-xanthosine DNA-binding transcriptional activator,XapR,xapR,b2405,xapR,TF,xanthosine
DNA-binding transcriptional dual regulator XylR-&alpha;-D-xylopyranose,XylR,xylR,b3569,xylR,TF,&alpha;-D-xylopyranose
XynR-D-xylonate,XynR,xynR,b0272,xynR,TF,D-xylonate
DNA-binding transcriptional regulator YafC,YafC,yafC,b0208,yafC,TF,
DNA-binding transcriptional dual regulator YciT,YciT,yciT,b1284,yciT,TF,
DNA-binding transcriptional repressor YcjW,YcjW,ycjW,b1320,ycjW,TF,
DNA-binding transcriptional dual regulator YdcI,YdcI,ydcI,b1422,ydcI,TF,
DNA-binding transcriptional dual regulator YdeO,YdeO,ydeO,b1499,ydeO,TF,
DNA-binding transcriptional activator PunR,YdhB,punR,b1659,punR,TF,
DNA-binding transcriptional repressor YebK,YebK,yebK,b1853,yebK,TF,2-dehydro-3-deoxy-D-gluconate 6-phosphate
antitoxin/DNA-binding transcriptional repressor YefM,YefM,yefM,b2017,yefM,TF,
YefM-YoeB antitoxin/toxin complex / DNA-binding transcriptional repressor,YefM-YoeB,"yoeB,yefM","b4539,b2017","yoeB,yefM",TF,
DNA-binding transcriptional dual regulator YeiE,YeiE,yeiE,b2157,yeiE,TF,
DNA-binding transcriptional activator YeiL,YeiL,yeiL,b2163,yeiL,TF,
DNA-binding transcriptional dual regulator YfeC,YfeC,yfeC,b2398,yfeC,TF,
DNA-binding transcriptional repressor YgbI,YgbI,ygbI,b2735,ygbI,TF,
DNA-binding transcriptional activator YgfI,YgfI,srsR,b2921,srsR,TF,
DNA-binding transcriptional repressor YgiV,YgiV,ygiV,b3023,ygiV,TF,
DNA-binding transcriptional activator YhaJ,YhaJ,yhaJ,b3105,yhaJ,TF,
DNA-binding transcriptional activator YiaU,YiaU,yiaU,b3585,yiaU,TF,
DNA-binding transcriptional dual regulator YidZ,YidZ,yidZ,b3711,yidZ,TF,
DNA-binding transcriptional dual regulator YieP,YieP,yieP,b3755,yieP,TF,
DNA-binding transcriptional repressor YjjQ,YjjQ,yjjQ,b4365,yjjQ,TF,
DNA-binding transcriptional activator YqhC,YqhC,yqhC,b3010,yqhC,TF,
ZntR-Zn<sup>2+</sup> DNA-binding transcriptional activator,ZntR,zntR,b3292,zntR,TF,Zn<SUP>2+</SUP>
DNA-binding transcriptional activator ZraR-phosphorylated,ZraR,zraR,b4004,zraR,TF,phosphate
Zur-Zn<sup>2+</sup> DNA-binding transcriptional repressor,Zur,zur,b4046,zur,TF,Zn<SUP>2+</SUP>
manually_add_DksA,DksA,dksA,b0145,dksA,TF,ppGpp
DNA-binding transcriptional repressor GlpR,GlpR,glpR,b3423,glpR,TF,
