Proteins,regulator,"Genes of polypeptide, complex, or RNA",Bnb,Gene,Category,Regulated,Regulated_Bnb,Inhibited,Inhibited_Bnb,Activated,Activated_Bnb
Fur-Fe<SUP>2+</SUP> DNA-binding transcriptional dual regulator,Fur,fur,b0683,fur,TF,"fhuF,fhuA,fhuC,fhuD,fhuB,fecE,fecD,fecC,fecB,fecA,entD,fepA,feoC,feoA,feoB,sufE,sufS,sufD,sufC,sufB,sufA,esrE,ompW,soxR,soxS,gltB,gltD,gltF,nfeF,grcA,gnd,nac,zwf,gdhA,fumC,fnr,amtB,glnK,ndh,aspC,glnD,lpd,mntP,pyrC,rnpB,garK,garR,garL,garP,yjjZ,gspO,gspM,gspL,gspK,gspJ,gspI,gspH,gspG,gspF,gspE,gspD,gspC,oppA,oppB,oppC,oppD,oppF,katG,rpoS,katE,ftnA,rcnB,rcnA,metH,ompF,cirA,fepB,fepC,fepG,fepD,entC,entE,entB,entA,entH,fur,sodA,flhC,flhD,purR,tonB,fecR,fecI,fumB,cyoE,cyoD,cyoC,cyoB,cyoA,sdhX,sdhC,sdhD,sdhA,sdhB,sucA,sucB,sucC,sucD,yhhY,tfaQ,stfQ,nohA,mntH,gpmA,ryhB,ygaC,fhuE,metJ,fiu,exbB,exbD,nrdH,nrdI,nrdF,nrdE,ybdZ,fes,entF,fepE,zinT,entS,hmp","b4367,b0150,b0151,b0152,b0153,b4287,b4288,b4289,b4290,b4291,b0583,b0584,b3410,b3408,b3409,b1679,b1680,b1681,b1682,b1683,b1684,b4707,b1256,b4063,b4062,b3212,b3213,b3214,b3070,b2579,b2029,b1988,b1852,b1761,b1611,b1334,b0451,b0450,b1109,b0928,b0167,b0116,b1821,b1062,b3123,b3124,b3125,b3126,b3127,b4567,b3335,b3334,b3333,b3332,b3331,b3330,b3329,b3328,b3327,b3326,b3325,b3324,b1243,b1244,b1245,b1246,b1247,b3942,b2741,b1732,b1905,b2107,b2106,b4019,b0929,b2155,b0592,b0588,b0589,b0590,b0593,b0594,b0595,b0596,b0597,b0683,b3908,b1891,b1892,b1658,b1252,b4292,b4293,b4122,b0428,b0429,b0430,b0431,b0432,b4764,b0721,b0722,b0723,b0724,b0726,b0727,b0728,b0729,b3441,b1546,b1547,b1548,b2392,b0755,b4451,b2671,b1102,b3938,b0805,b3006,b3005,b2673,b2674,b2676,b2675,b4511,b0585,b0586,b0587,b1973,b0591,b2552","fhuF,fhuA,fhuC,fhuD,fhuB,fecE,fecD,fecC,fecB,fecA,entD,fepA,feoC,feoA,feoB,sufE,sufS,sufD,sufC,sufB,sufA,soxR,soxS,gltB,gltD,gltF,nfeF,grcA,gnd,nac,zwf,gdhA,fumC,fnr,amtB,glnK,ndh,aspC,glnD,lpd,pyrC,rnpB,garK,garR,garL,garP,yjjZ,gspO,gspM,gspL,gspK,gspJ,gspI,gspH,gspG,gspF,gspE,gspD,gspC,oppA,oppB,oppC,oppD,oppF,rpoS,rcnB,rcnA,metH,cirA,fepB,fepC,fepG,fepD,entC,entE,entB,entA,entH,fur,sodA,flhC,flhD,purR,tonB,fecR,fecI,cyoE,cyoD,cyoC,cyoB,cyoA,yhhY,tfaQ,stfQ,nohA,mntH,gpmA,ryhB,ygaC,fhuE,metJ,fiu,exbB,exbD,nrdH,nrdI,nrdF,nrdE,ybdZ,fes,entF,fepE,entS,hmp","b4367,b0150,b0151,b0152,b0153,b4287,b4288,b4289,b4290,b4291,b0583,b0584,b3410,b3408,b3409,b1679,b1680,b1681,b1682,b1683,b1684,b4063,b4062,b3212,b3213,b3214,b3070,b2579,b2029,b1988,b1852,b1761,b1611,b1334,b0451,b0450,b1109,b0928,b0167,b0116,b1062,b3123,b3124,b3125,b3126,b3127,b4567,b3335,b3334,b3333,b3332,b3331,b3330,b3329,b3328,b3327,b3326,b3325,b3324,b1243,b1244,b1245,b1246,b1247,b2741,b2107,b2106,b4019,b2155,b0592,b0588,b0589,b0590,b0593,b0594,b0595,b0596,b0597,b0683,b3908,b1891,b1892,b1658,b1252,b4292,b4293,b0428,b0429,b0430,b0431,b0432,b3441,b1546,b1547,b1548,b2392,b0755,b4451,b2671,b1102,b3938,b0805,b3006,b3005,b2673,b2674,b2676,b2675,b4511,b0585,b0586,b0587,b0591,b2552","esrE,ompW,gdhA,amtB,glnK,lpd,mntP,katG,katE,ftnA,ompF,tonB,fumB,sdhX,sdhC,sdhD,sdhA,sdhB,sucA,sucB,sucC,sucD,entS,zinT","b4707,b1256,b1761,b0451,b0450,b0116,b1821,b3942,b1732,b1905,b0929,b1252,b4122,b4764,b0721,b0722,b0723,b0724,b0726,b0727,b0728,b0729,b0591,b1973"
BirA-biotinyl-5'-adenylate DNA-binding transcriptional repressor / biotin-[acetyl-CoA-carboxylase] ligase,BirA,birA,b3973,birA,TF,"bioA,bioB,bioF,bioC,bioD","b0774,b0775,b0776,b0777,b0778","bioA,bioB,bioF,bioC,bioD","b0774,b0775,b0776,b0777,b0778",,
DnaA-ATP DNA-binding transcriptional dual regulator,DnaA,dnaA,b3702,dnaA,TF,"idlP,ytiD,ytiC,iraD,recN,uvrB,yjeV,aldA,guaA,guaB,rpoH,polA,recF,dnaN,dnaA,yfaE,nrdA,nrdB","b4722,b4721,b4720,b4326,b2616,b0779,b4670,b1415,b2507,b2508,b3461,b3863,b3700,b3701,b3702,b2236,b2234,b2235","idlP,ytiD,ytiC,iraD,recN,uvrB,yfaE,nrdA,nrdB,yjeV,aldA,guaA,guaB,rpoH,recF,dnaN,dnaA","b4722,b4721,b4720,b4326,b2616,b0779,b2236,b2234,b2235,b4670,b1415,b2507,b2508,b3461,b3700,b3701,b3702","recF,dnaN,dnaA,polA,yfaE,nrdA,nrdB","b3700,b3701,b3702,b3863,b2236,b2234,b2235"
RhaS-L-rhamnose DNA-binding transcriptional activator,RhaS,rhaS,b3905,rhaS,TF,"rhaS,rhaR,rhaD,rhaA,rhaB,rhaT","b3905,b3906,b3902,b3903,b3904,b3907",,,"rhaS,rhaR,rhaD,rhaA,rhaB,rhaT","b3905,b3906,b3902,b3903,b3904,b3907"
GalS-D-galactose,GalS,galS,b2151,galS,TF,"galP,galR,galM,galK,galT,galE","b2943,b2837,b0756,b0757,b0758,b0759","mglC,mglA,mglB,galM,galK,galT,galE,galS,galP,galR","b2148,b2149,b2150,b0756,b0757,b0758,b0759,b2151,b2943,b2837","galM,galK,galT,galE","b0756,b0757,b0758,b0759"
DNA-binding transcriptional repressor TyrR-L-phenylalanine,TyrR,tyrR,b1323,tyrR,TF,"tyrP,aroG","b1907,b0754","tyrR,tyrP,tyrB,aroP,aroL,yaiA,aroM,tyrA,aroF,aroG","b1323,b1907,b4054,b0112,b0388,b0389,b0390,b2600,b2601,b0754","folA,mtr,tyrP","b0048,b3161,b1907"
GlcC-glycolate DNA-binding transcriptional dual regulator,GlcC,glcC,b2980,glcC,TF,"glcA,glcB,glcG,glcF,glcE,glcD,glcC","b2975,b2976,b2977,b4467,b4468,b2979,b2980",glcC,b2980,"glcA,glcB,glcG,glcF,glcE,glcD","b2975,b2976,b2977,b4467,b4468,b2979"
AraC-&alpha;-L-arabinopyranose DNA-binding transcriptional activator,AraC,araC,b0064,araC,TF,"ydeM,ydeN,xylB,xylA,ygeA,araE,araH,araG,araF,araJ,araC,araD,araA,araB","b1497,b1498,b3564,b3565,b2840,b2841,b4460,b1900,b1901,b0396,b0064,b0061,b0062,b0063","yjfF,ytfT,ytfR,ytfQ,ydeM,ydeN,xylB,xylA,araC,araD,araA,araB","b4231,b4230,b4485,b4227,b1497,b1498,b3564,b3565,b0064,b0061,b0062,b0063","ygeA,araE,araH,araG,araF,araJ,araC,araD,araA,araB","b2840,b2841,b4460,b1900,b1901,b0396,b0064,b0061,b0062,b0063"
NrdR-Zn<sup>2+</sup> DNA-binding transcriptional repressor,NrdR,nrdR,b0413,nrdR,TF,"nrdH,nrdI,nrdF,nrdE,yfaE,nrdA,nrdB,nrdG,nrdD","b2673,b2674,b2676,b2675,b2236,b2234,b2235,b4237,b4238","nrdH,nrdI,nrdF,nrdE,yfaE,nrdA,nrdB,nrdG,nrdD","b2673,b2674,b2676,b2675,b2236,b2234,b2235,b4237,b4238",,
CysB-<i>O</i>-acetyl-L-serine DNA-binding transcriptional dual regulator,CysB,cysB,b1275,cysB,TF,"cysM,cysA,cysW,cysU,cysP,ariR,yoaC,yfbR,dgcZ,ybdN,ygeH,hslJ,ssuB,ssuC,ssuD,ssuA,ssuE,cbl,cysH,cysI,cysJ,cysC,cysN,cysD,tauD,tauC,tauB,tauA","b2421,b2422,b2423,b2424,b2425,b1166,b1810,b2291,b1535,b0602,b2852,b1379,b0933,b0934,b0935,b0936,b0937,b1987,b2762,b2763,b2764,b2750,b2751,b2752,b0368,b0367,b0366,b0365","cysB,hslJ,ssuB,ssuC,ssuD,ssuA,ssuE","b1275,b1379,b0933,b0934,b0935,b0936,b0937","tcyP,tcyJ,yciW,cysK,cysM,cysA,cysW,cysU,cysP,ariR,yoaC,yfbR,dgcZ,ybdN,ygeH,cbl,cysH,cysI,cysJ,cysC,cysN,cysD,tauD,tauC,tauB,tauA","b1729,b1920,b1287,b2414,b2421,b2422,b2423,b2424,b2425,b1166,b1810,b2291,b1535,b0602,b2852,b1987,b2762,b2763,b2764,b2750,b2751,b2752,b0368,b0367,b0366,b0365"
Zur-Zn<sup>2+</sup> DNA-binding transcriptional repressor,Zur,zur,b4046,zur,TF,"ykgM,ykgO,pliG,zinT,znuB,znuC,znuA","b0296,b4506,b1178,b1973,b1859,b1858,b1857","ykgM,ykgO,pliG,zinT,znuB,znuC,znuA","b0296,b4506,b1178,b1973,b1859,b1858,b1857",,
PyrR-pyruvate,PyrR,pyrR,b2381,pyrR,TF,yhjX,b3547,,,yhjX,b3547
RbsR-D-ribose,RbsR,rbsR,b3753,rbsR,TF,"dcd,udk,add","b2065,b2066,b1623","purD,purH,rbsR,rbsD,rbsA,rbsC,rbsB,rbsK","b4005,b4006,b3753,b3748,b3749,b3750,b3751,b3752","dcd,udk,add","b2065,b2066,b1623"
IclR-pyruvate DNA-binding transcriptional repressor,IclR,iclR,b4018,iclR,TF,"iclR,aceB,aceA,aceK","b4018,b4014,b4015,b4016","iclR,aceB,aceA,aceK","b4018,b4014,b4015,b4016",,
DNA-binding transcriptional repressor IscR-a [2Fe-2S] iron-sulfur cluster,IscR,iscR,b2531,iscR,TF,"torT,iscA,iscU,iscS,iscR","b0994,b2528,b2529,b2530,b2531","rnlB,rnlA,nfuA,erpA,napC,napB,napH,napG,napA,napD,napF,hyaA,hyaB,hyaC,hyaD,hyaE,hyaF,torT,iscA,iscU,iscS,iscR","b2631,b2630,b3414,b0156,b2202,b2203,b2204,b2205,b2206,b2207,b2208,b0972,b0973,b0974,b0975,b0976,b0977,b0994,b2528,b2529,b2530,b2531","nrdH,nrdI,nrdF,nrdE,selO,sufE,sufS,sufD,sufC,sufB,sufA","b2673,b2674,b2676,b2675,b1706,b1679,b1680,b1681,b1682,b1683,b1684"
DNA-binding transcriptional dual regulator Lrp-L-leucine,Lrp,lrp,b0889,lrp,TF,"alaE,leuE,avtA,alaA,argO,yojI,gltB,gltD,gltF,yhiD,hdeB,hdeA,rrfF,thrV,rrfD,rrlD,alaU,ileU,rrsD,rrfH,rrlH,alaV,ileV,rrsH,rrfG,rrlG,gltW,rrsG,rrfE,rrlE,gltV,rrsE,rrfC,rrlC,gltU,rrsC,rrfA,rrlA,alaT,ileT,rrsA,serA,gabP,gabT,gabD,lhgD,glaH,yeiL,livJ,micF,rrfB,rrlB,gltT,rrsB,ilvX,ilvG,ilvA,ilvD,ilvE,ilvM,ilvL,ompC","b2670,b1798,b3572,b2290,b2923,b2211,b3212,b3213,b3214,b3508,b3509,b3510,b3272,b3273,b3274,b3275,b3276,b3277,b3278,b0205,b0204,b0203,b0202,b0201,b2588,b2589,b2590,b2591,b4010,b4009,b4008,b4007,b3759,b3758,b3757,b3756,b3855,b3854,b3853,b3852,b3851,b2913,b2663,b2662,b2661,b2660,b2659,b2163,b3460,b4439,b3971,b3970,b3969,b3968,b4669,b4488,b3772,b3771,b3770,b3769,b3766,b2215","artP,ytfJ,ytfB,yqeG,yodC,yjiL,yiiM,yiaG,yhiM,yhcN,yhbY,ygiW,ygiV,yfiB,tsuA,yebF,yeaE,ydeE,ychE,ycgB,yceB,trhO,ybjN,ybiT,ybiO,ybhQ,ybgA,ybeX,ybdL,ybdG,wecB,upp,trxB,treA,topA,thiC,sthA,sstT,sroH,slyA,serS,serC,rpsH,rpoN,rplR,rplF,rpiA,rnr,ridA,ribE,radD,qseB,purM,ptsN,ppsA,ppk,polA,pncB,pgl,panZ,pal,pabB,nusB,nuoA,napF,mutY,mscS,mscK,msbA,mnmA,metT,metH,manA,lysP,lpxL,lolA,leuO,leuA,kbl,katE,iraD,intZ,hpf,hlyE,groS,groL,gpt,gltP,glgC,glcA,gdhA,gcvT,gadW,gadB,fxsA,frdB,frdA,fliA,fadI,emrD,dtpB,dppA,dhaK,dgcQ,dgcM,dgcJ,deoB,dedA,deaD,cysB,cydC,creA,cpoB,btuE,atpH,atpA,astC,aspS,aspA,artI,aroG,aroA,argS,argR,argA,arcB,aphA,ansB,amiC,alaS,alaE,aer,acrZ,ytfK,yjiC,yjeM,yjbQ,yjbJ,yhhW,patA,yfcZ,yfcC,yehL,yciN,ycaM,ybjS,ybiJ,ybgS,uspE,tyrR,tyrP,dtpA,thrL,sdaC,ppx,potF,pepD,mtr,mqo,metK,ftsQ,eco,cycA,csiE,brnQ,fau,ssrS,ilvH,ilvI,adhE,lysU,osmC,sdaA,oppA,oppB,oppC,oppD,oppF,aidB,osmY,livF,livG,livM,livH,livK,lrp,dadX,dadA,leuE,avtA,alaA,yhiD,hdeB,hdeA,rrfF,thrV,rrfD,rrlD,alaU,ileU,rrsD,rrfH,rrlH,alaV,ileV,rrsH,rrfG,rrlG,gltW,rrsG,rrfE,rrlE,gltV,rrsE,rrfC,rrlC,gltU,rrsC,rrfA,rrlA,alaT,ileT,rrsA,serA,livJ,micF,rrfB,rrlB,gltT,rrsB,ilvX,ilvG,ilvA,ilvD,ilvE,ilvM,ilvL,ompC","b0864,b4216,b4206,b2845,b1957,b4334,b3910,b3555,b3491,b3238,b3180,b3024,b3023,b2605,b2013,b1847,b1781,b1534,b1242,b1188,b1063,b1055,b0853,b0820,b0808,b0791,b0707,b0658,b0600,b0577,b3786,b2498,b0888,b1197,b1274,b3994,b3962,b3089,b4691,b1642,b0893,b0907,b3306,b3202,b3304,b3305,b2914,b4179,b4243,b0415,b2184,b3025,b2499,b3204,b1702,b2501,b3863,b0931,b0767,b3459,b0741,b1812,b0416,b2288,b2208,b2961,b2924,b0465,b0914,b1133,b0673,b4019,b1613,b2156,b1054,b0891,b0076,b0074,b3617,b1732,b4326,b2442,b3203,b1182,b4142,b4143,b0238,b4077,b3430,b2975,b1761,b2905,b3515,b1493,b4140,b4153,b4154,b1922,b2342,b3673,b3496,b3544,b1200,b1956,b1341,b1786,b4383,b2317,b3162,b1275,b0886,b4397,b0742,b1710,b3735,b3734,b1748,b1866,b4139,b0863,b0754,b0908,b1876,b3237,b2818,b3210,b4055,b2957,b2817,b2697,b2670,b3072,b0762,b4217,b4325,b4156,b4056,b4045,b3439,b3073,b2343,b2298,b2119,b1273,b0899,b0868,b0802,b0753,b1333,b1323,b1907,b1634,b0001,b2796,b2502,b0854,b0237,b3161,b2210,b2942,b0093,b2209,b4208,b2535,b0401,b2912,b2911,b0078,b0077,b1241,b4129,b1482,b1814,b1243,b1244,b1245,b1246,b1247,b4187,b4376,b3454,b3455,b3456,b3457,b3458,b0889,b1190,b1189,b1798,b3572,b2290,b3508,b3509,b3510,b3272,b3273,b3274,b3275,b3276,b3277,b3278,b0205,b0204,b0203,b0202,b0201,b2588,b2589,b2590,b2591,b4010,b4009,b4008,b4007,b3759,b3758,b3757,b3756,b3855,b3854,b3853,b3852,b3851,b2913,b3460,b4439,b3971,b3970,b3969,b3968,b4669,b4488,b3772,b3771,b3770,b3769,b3766,b2215","zntR,zitB,zipA,ytjB,ytfJ,ytfB,yoeG,yoaH,ynjH,ykgE,yjiL,yjfP,yjeH,yjbR,yicH,yibT,yibL,yhjR,yhjJ,yhhW,yhhA,yhdW,yhdV,yhdN,ygiW,ygiV,yfaP,tsuA,yeaG,ydhQ,ydgH,ydeN,ydcL,ydcK,yciZ,yciT,ycgB,ycfJ,ybjX,ybiI,ybhQ,ybgS,ybdF,yaiY,yagU,yaeQ,yacL,yabQ,yaaX,ubiA,tyrR,tyrP,sulA,soxS,slyX,slyA,sad,rseA,rsd,rplR,rpiB,rnr,rlmE,rhtB,relA,pyrI,purT,purM,pspG,proP,prlF,ppx,potF,pntA,phoH,phoA,patA,panZ,ompT,nac,modA,menA,livK,livJ,lipA,leuO,leuL,leuA,ldhA,katE,iraP,insH3,insC5,ilvL,ibpB,ibpA,htrE,hspQ,groL,glnQ,glnL,glnK,glnH,glnA,glcA,gadY,gadW,fxsA,fumA,fliA,fadL,fadI,exbB,eptB,eno,dppA,dgcZ,dgcM,dadA,csiE,rdcA,clpS,clpP,chbG,cbl,can,bssS,borD,astC,aspC,asnB,asnA,artP,artI,aroG,argT,argR,alaA,adhE,acrZ,yzgL,yqeF,yhjE,serB,lrhA,lolC,avtA,aspA,ansB,aceB,ridA,cadA,cadB,lysP,gcvP,gcvH,gcvT,osmC,serA,malT,tdh,kbl,stpA,fimE,fimD,fimH,fimG,fimF,fimC,fimI,fimA,serC,aroA,ilvI,ilvH,alaE,argO,yojI,gltB,gltD,gltF,gabP,gabT,gabD,lhgD,glaH,yeiL","b3292,b0752,b2412,b4387,b4216,b4206,b4640,b1811,b1760,b0306,b4334,b4190,b4141,b4057,b3655,b4554,b3602,b3535,b3527,b3439,b3448,b3268,b3267,b3293,b3024,b3023,b2225,b2013,b1783,b1664,b1604,b1498,b1431,b1428,b4596,b1284,b1188,b1110,b0877,b0803,b0791,b0753,b0579,b0379,b0287,b0190,b0119,b0057,b0005,b4040,b1323,b1907,b0958,b4062,b3348,b1642,b1525,b2572,b3995,b3304,b4090,b4179,b3179,b3824,b2784,b4244,b1849,b2499,b4050,b4111,b3129,b2502,b0854,b1603,b1020,b0383,b3073,b3459,b0565,b1988,b0763,b3930,b3458,b3460,b0628,b0076,b0075,b0074,b1380,b1732,b0382,b0656,b3044,b3766,b3686,b3687,b0139,b0966,b4143,b0809,b3869,b0450,b0811,b3870,b2975,b4452,b3515,b4140,b1612,b1922,b2344,b2342,b3006,b3546,b2779,b3544,b1535,b1341,b1189,b2535,b4109,b0881,b0437,b1733,b1987,b0126,b1060,b0557,b1748,b0928,b0674,b3744,b0864,b0863,b0754,b2310,b3237,b2290,b1241,b0762,b3427,b2844,b3523,b4388,b2289,b1116,b3572,b4139,b2957,b4014,b4243,b4131,b4132,b2156,b2903,b2904,b2905,b1482,b2913,b3418,b3616,b3617,b2669,b4313,b4317,b4320,b4319,b4318,b4316,b4315,b4314,b0907,b0908,b0077,b0078,b2670,b2923,b2211,b3212,b3213,b3214,b2663,b2662,b2661,b2660,b2659,b2163"
AllS-allantoin DNA-binding transcriptional activator,AllS,allS,b0504,allS,TF,"allE,allC,allD","b0515,b0516,b0517",,,"allE,allC,allD","b0515,b0516,b0517"
IlvY-(<i>S</i>)-2-acetolactate DNA-binding transcriptional dual regulator,IlvY,ilvY,b3773,ilvY,TF,ilvC,b3774,ilvY,b3773,ilvC,b3774
Dan-L-tartrate DNA-binding transcriptional activator,TtdR,ttdR,b3060,ttdR,TF,"ttdT,ttdA,ttdB,ttdR","b3063,b3061,b3062,b3060",,,"ttdT,ttdA,ttdB,ttdR","b3063,b3061,b3062,b3060"
RhaR-L-rhamnose DNA-binding transcriptional activator,RhaR,rhaR,b3906,rhaR,TF,"rhaS,rhaR","b3905,b3906",,,"rhaS,rhaR","b3905,b3906"
"DNA-binding transcriptional dual regulator PrpR-(2<i>S</i>,3<i>S</i>)-2-methylcitrate",PrpR,prpR,b0330,prpR,TF,"prpE,prpD,prpC,prpB,prpR","b0335,b0334,b0333,b0331,b0330",prpR,b0330,"prpE,prpD,prpC,prpB","b0335,b0334,b0333,b0331"
DNA-binding transcriptional repressor PurR-hypoxanthine,PurR,purR,b1658,purR,TF,"purT,purA,carA,carB,guaA,guaB,speB,speA,prs,glyA,purM,purN,gcvP,gcvH,gcvT,codB,codA,purR,glnB,purK,purE,pyrD,ubiX,purF,cvpA,purB,hflD,pyrC,purL,purD,purH,purC","b1849,b4177,b0032,b0033,b2507,b2508,b2937,b2938,b1207,b2551,b2499,b2500,b2903,b2904,b2905,b0336,b0337,b1658,b2553,b0522,b0523,b0945,b2311,b2312,b2313,b1131,b1132,b1062,b2557,b4005,b4006,b2476","purT,purA,carA,carB,guaA,guaB,speB,speA,prs,glyA,purM,purN,gcvP,gcvH,gcvT,codB,codA,purR,glnB,purK,purE,pyrD,ubiX,purF,cvpA,purB,hflD,pyrC,purL,purD,purH,purC","b1849,b4177,b0032,b0033,b2507,b2508,b2937,b2938,b1207,b2551,b2499,b2500,b2903,b2904,b2905,b0336,b0337,b1658,b2553,b0522,b0523,b0945,b2311,b2312,b2313,b1131,b1132,b1062,b2557,b4005,b4006,b2476",,
GalR-D-galactose,GalR,galR,b2837,galR,TF,"galP,galR,galM,galK,galT,galE","b2943,b2837,b0756,b0757,b0758,b0759","mglC,mglA,mglB,galM,galK,galT,galE,galS,galP,galR","b2148,b2149,b2150,b0756,b0757,b0758,b0759,b2151,b2943,b2837","galM,galK,galT,galE","b0756,b0757,b0758,b0759"
DNA-binding transcriptional repressor TyrR-L-tyrosine,TyrR,tyrR,b1323,tyrR,TF,"folA,mtr,tyrP,tyrB,aroP,aroL,yaiA,aroM,tyrA,aroF","b0048,b3161,b1907,b4054,b0112,b0388,b0389,b0390,b2600,b2601","tyrR,tyrP,tyrB,aroP,aroL,yaiA,aroM,tyrA,aroF,aroG","b1323,b1907,b4054,b0112,b0388,b0389,b0390,b2600,b2601,b0754","folA,mtr,tyrP","b0048,b3161,b1907"
aminopeptidase A/I,PepA,pepA,b4260,pepA,TF,"pepA,carA,carB","b4260,b0032,b0033","pepA,carA,carB","b4260,b0032,b0033",,
ChbR-6-phospho-&beta;-D-glucosaminyl-(1->4)-<i>N</i>-acetyl-D-glucosamine,ChbR,chbR,b1735,chbR,TF,"chbG,chbF,chbR,chbA,chbC,chbB","b1733,b1734,b1735,b1736,b1737,b1738","chbG,chbF,chbR,chbA,chbC,chbB","b1733,b1734,b1735,b1736,b1737,b1738","chbG,chbF,chbR,chbA,chbC,chbB","b1733,b1734,b1735,b1736,b1737,b1738"
DNA-binding transcriptional dual regulator XylR-&alpha;-D-xylopyranose,XylR,xylR,b3569,xylR,TF,"xylE,araC,xylF,xylG,xylH,xylR,xylB,xylA","b4031,b0064,b3566,b3567,b3568,b3569,b3564,b3565",araC,b0064,"xylE,xylF,xylG,xylH,xylR,xylB,xylA","b4031,b3566,b3567,b3568,b3569,b3564,b3565"
ArgR-L-arginine DNA-binding transcriptional dual regulator,ArgR,argR,b3237,argR,TF,"yraQ,ykgA,yffB,yfcC,ydgI,yaaU,waaA,stpA,pyrL,puuB,potF,pfkB,mukE,lrp,mcaS,hisL,hchA,gltP,ftsZ,eutS,dps,dacC,cvpA,aroP,aroK,yhcC,lysO,gltB,gltD,gltF,argA,astE,astB,astD,astA,astC,argG,artJ,hisP,hisM,hisQ,hisJ,argD,pnp,rpsO,truB,rbfA,infB,nusA,rimP,metY,carA,carB,argR,argI,argF,argE,argC,argB,argH","b3151,b0300,b2471,b2298,b1605,b0045,b3633,b2669,b4246,b1301,b0854,b1723,b0923,b0889,b4426,b2018,b1967,b4077,b0095,b2462,b0812,b0839,b2313,b0112,b3390,b3211,b0874,b3212,b3213,b3214,b2818,b1744,b1745,b1746,b1747,b1748,b3172,b0860,b2306,b2307,b2308,b2309,b3359,b3164,b3165,b3166,b3167,b3168,b3169,b3170,b3171,b0032,b0033,b3237,b4254,b0273,b3957,b3958,b3959,b3960","artM,artQ,artI,artP,yfcC,ydgI,waaA,stpA,pyrL,potF,pfkB,mukE,lrp,mcaS,hisL,hchA,ftsZ,dps,dacC,cvpA,aroK,yhcC,lysO,gltB,gltD,gltF,argA,argG,artJ,hisP,hisM,hisQ,hisJ,argD,pnp,rpsO,truB,rbfA,infB,nusA,rimP,metY,carA,carB,argR,argI,argF,argE,argC,argB,argH","b0861,b0862,b0863,b0864,b2298,b1605,b3633,b2669,b4246,b0854,b1723,b0923,b0889,b4426,b2018,b1967,b0095,b0812,b0839,b2313,b3390,b3211,b0874,b3212,b3213,b3214,b2818,b3172,b0860,b2306,b2307,b2308,b2309,b3359,b3164,b3165,b3166,b3167,b3168,b3169,b3170,b3171,b0032,b0033,b3237,b4254,b0273,b3957,b3958,b3959,b3960","yraQ,ykgA,yffB,yaaU,puuB,gltP,eutS,aroP,astE,astB,astD,astA,astC","b3151,b0300,b2471,b0045,b1301,b4077,b2462,b0112,b1744,b1745,b1746,b1747,b1748"
DNA-binding transcriptional dual regulator HcaR-3-phenylpropanoate,HcaR,hcaR,b2537,hcaR,TF,"hcaD,hcaB,hcaC,hcaF,hcaE","b2542,b2541,b2540,b2539,b2538",hcaR,b2537,"hcaD,hcaB,hcaC,hcaF,hcaE","b2542,b2541,b2540,b2539,b2538"
AlaS-L-alanine DNA-binding transcriptional repressor,AlaS,alaS,b2697,alaS,TF,alaS,b2697,alaS,b2697,,
DNA-binding transcriptional dual regulator LldR-<i>S</i>-lactate,LldR,lldR,b3604,lldR,TF,"lldD,lldR,lldP","b3605,b3604,b3603","lldD,lldR,lldP","b3605,b3604,b3603","lldD,lldR,lldP","b3605,b3604,b3603"
MetR-L-homocysteine,MetR,metR,b3828,metR,TF,"metR,metE,glyA","b3828,b3829,b2551","glyA,metR","b2551,b3828","metH,hmp,metE,glyA","b4019,b2552,b3829,b2551"
DNA-binding transcriptional activator MhpR-3-(3-hydroxyphenyl)propanoate,MhpR,mhpR,b0346,mhpR,TF,"mhpF,mhpE,mhpD,mhpC,mhpB,mhpA","b0351,b0352,b0350,b0349,b0348,b0347",,,"mhpF,mhpE,mhpD,mhpC,mhpB,mhpA","b0351,b0352,b0350,b0349,b0348,b0347"
DsdC-D-serine DNA-binding transcriptional dual regulator,DsdC,dsdC,b2364,dsdC,TF,"dsdC,dsdX,dsdA","b2364,b2365,b2366",dsdC,b2364,"dsdX,dsdA","b2365,b2366"
DNA-binding transcriptional activator MalT-maltotriose-ATP,MalT,malT,b3418,malT,TF,"malZ,malS,malK,lamB,malM,malH,malG,malF,malE,malQ,malP","b0403,b3571,b4035,b4036,b4037,b4807,b4032,b4033,b4034,b3416,b3417",,,"malZ,malS,malK,lamB,malM,malH,malG,malF,malE,malQ,malP","b0403,b3571,b4035,b4036,b4037,b4807,b4032,b4033,b4034,b3416,b3417"
DNA-binding transcriptional activator HyfR,HyfR,hyfR,b2491,hyfR,TF,"focB,hyfR,hyfJ,hyfI,hyfH,hyfG,hyfF,hyfE,hyfD,hyfC,hyfB,hyfA","b2492,b2491,b2490,b2489,b2488,b2487,b2486,b2485,b2484,b2483,b2482,b2481",,,"focB,hyfR,hyfJ,hyfI,hyfH,hyfG,hyfF,hyfE,hyfD,hyfC,hyfB,hyfA","b2492,b2491,b2490,b2489,b2488,b2487,b2486,b2485,b2484,b2483,b2482,b2481"
