"gene","Bnb","DMmut","DMenv","DMevo","DMstrs","DMstrs_hp","DMstrs_he","DMprtn","DMnoise_ch"
"leuB","b0073",0.0351831746468658,1.7661453822826,-0.172487864334643,0.0688228975941146,0.327109857282821,0.0558224796712821,0.4627084669889,NA
"leuA","b0074",0.242250792175494,1.71194327063621,-0.153378839633106,0.0961205420192333,0.435047372671887,0.0735692549350208,0.156015413927118,NA
"leuO","b0076",0.119498574497824,-0.299706403496893,0.156064337065123,0.0937104966390223,0.450615349956159,-0.0434490672359165,NA,NA
"ilvI","b0077",-0.217216715200786,0.970886192304384,-0.179170464857568,0.0351464569617214,-0.113113420085242,0.0218161506418218,-0.0265674140135411,NA
"ilvH","b0078",-0.177003169421708,0.955537986912012,-0.184241559681775,0.042870310271459,-0.123380546060422,0.0612535553801751,0.0197317080839574,NA
"cra","b0080",0.0835340785876179,-0.202704939186506,-0.0522215636573897,-0.0138088379885766,-0.0757542449726237,-0.0713722020154133,0.0364256984901891,-0.125709203020046
"mraZ","b0081",0.0156014057340567,-0.239815151567256,-0.121437590337034,-0.0078602327618767,0.107956616104226,0.102104099712347,-0.261499039793419,0.0104809839567029
"rsmH","b0082",-0.155922510576177,-0.311552787355884,-0.21262016445364,-0.108995505437998,-0.0592246966921905,-0.00978748522152473,-0.107371046160444,-0.105722039129401
"ftsL","b0083",0.00827408439343624,-0.14749063995306,-0.0751979029488666,-0.0818425411522543,-0.10282902379631,0.0712093729886622,1.23399778849327,NA
"ftsI","b0084",-0.180315368435164,-0.178133393157416,-0.201318175047361,-0.10690225589225,0.00413592962381715,-0.0727487494041814,0.339540049821381,NA
"murE","b0085",-0.158608385469873,-0.342458944335762,-0.276515830051432,-0.0693944020903065,0.0107800595641364,-0.0648302388263929,-0.0892683152574458,-0.181003738964302
"murF","b0086",-0.191469827722484,-0.251066253026327,-0.160341009335757,-0.0696753902520084,-0.0320758335304041,-0.0580395212491919,-0.0167144222542814,-0.0938724946043369
"mraY","b0087",-0.186842863361463,-0.208495570206721,-0.200427997049709,-0.0285592000309269,-0.0102698197049451,-0.0684435821095094,-0.455839922589288,NA
"murD","b0088",-0.160964811151965,-0.340318530768711,-0.199377810914756,-0.0547287677025219,-0.0693335543523353,-0.0451616611223957,0.0604461694527874,NA
"ftsW","b0089",-0.0662060389537205,-0.113884998323309,-0.188334133602677,-0.0547797048901095,-0.0561088184477367,-0.0166066458015555,NA,NA
"murG","b0090",-0.119516555329158,-0.197307156248689,-0.0807866184765317,-0.0715685749946361,-0.0929881130729489,-0.0661638554622171,-0.206915470766935,-0.305897434076764
"murC","b0091",-0.195417552160095,-0.300732550499434,-0.218895531847004,-0.0681157804776366,-0.0931806161245091,-0.0536414951612758,-0.0943754870322965,NA
"ddlB","b0092",-0.203969407366281,-0.285278539154032,-0.142832546273956,-0.0905916965088924,-0.121443311784133,-0.0701231145540989,-0.0880353772814088,NA
"ftsQ","b0093",-0.258598475092104,-0.204775164864405,-0.151967224414062,-0.141102406640787,-0.109236654192126,-0.0765060825556085,NA,NA
"ftsA","b0094",-0.259712701683072,-0.250787258589692,-0.247565615626785,-0.148759046927651,-0.0773137890292448,-0.0919510062887058,-0.120027508002953,-0.128009022087325
"ftsZ","b0095",-0.255517892032537,-0.436725866242856,-0.246286432438123,-0.160461367232354,-0.160844767505561,-0.0939273652913865,0.0279115443465446,NA
"lpxC","b0096",-0.136848190531463,-0.233544610148587,-0.244543900716079,-0.0839474301613604,-0.0882366226612947,-0.0426396479587368,-0.242192314397528,NA
"secM","b0097",0.0056836683984352,-0.188908292331568,0.0689730960233189,-0.0834363885838932,-0.0904911436244082,-0.0770752748125528,NA,NA
"mutT","b0099",-0.0641652289741256,0.287725866682996,-0.0267000031613777,0.0633740215379456,0.1075315800246,-0.00528002011432349,NA,-0.0338788552900924
"yacG","b0101",-0.177629966509225,-0.265860333589886,-0.116157035967688,-0.0837248530651884,-0.21292024948891,-0.0238204733581265,1.00336850385894,-0.107947200766381
"zapD","b0102",-0.00165002570958345,-0.300724684579436,-0.0254107371570054,-0.114470356006464,-0.189255376444142,-0.0403273076230935,-0.074895424275824,NA
"coaE","b0103",-0.132988656341332,-0.202155900722064,-0.116579103274556,-0.060813836558985,-0.191679343244469,-0.0645644079299237,-0.292419563852687,NA
"guaC","b0104",0.198252713493431,0.12383486571728,-0.0529384962372468,0.0433169766447249,0.157954338957508,0.0866492551607918,0.112645493804798,0.00209194144042424
"hofC","b0106",0.0887336489148794,-0.3025603925642,-0.0189904609484859,-0.0695867861314248,-0.0432663486899346,-0.0873211276807575,NA,NA
"hofB","b0107",-0.165360742642199,-0.233133721106597,0.144816678587858,-0.0965430802034739,-0.0347755897338389,-0.0509929709176449,NA,0.350316363997802
"nadC","b0109",-0.0319445151374549,-0.300342952509045,-0.111795559907301,-0.0251278985815415,-0.0622411771595469,-0.0360211084307689,-0.0715012058129134,-0.148669752026065
"ampD","b0110",-0.15440471962818,-0.318192037891424,0.0232203066499534,-0.0841820898062264,-0.119021110897046,-0.0672706446688934,NA,NA
"aroP","b0112",-0.0440586798463808,0.870374179206847,-0.182726975042815,0.0606756076964846,0.377595241320671,-0.01633540125002,0.468570656794907,NA
"pdhR","b0113",0.530130957769959,0.376203279539606,0.11827309625956,-0.0762337978885009,-0.101767876652926,0.0191967852933446,0.18709374790964,NA
"aceE","b0114",0.431688453609777,-0.00170493383004167,0.0663273000043754,-0.0252472723415257,0.105909942983031,0.0179147485776912,-0.0221355989021876,0.872954103423983
