"gene","Bnb","AncHa_rep1_0","AncHa_rep2_0","AncHb_rep1_0","AncHb_rep2_0","H03_10","H04_10","H06_10","H08_10","H10_10","H11_10","H03_30","H04_30","H06_30","H08_30","H10_30","H11_30"
"ompX","b0814",12.1744195793473,12.1544753591037,12.9888229509307,12.351406248711,11.8665386191209,11.9491636205834,11.5613910347057,13.042742585788,12.4863219123727,12.5209749390879,12.6704316396613,12.3103126324705,11.5095590625289,12.8688394614754,12.6315234127145,12.6515619728509
"opgE","b0815",6.58614962015682,6.3925996646445,4.88116639413011,4.91499835103133,5.6522716650912,5.49322647369029,6.13522826757373,5.87239225438475,4.3926977758806,6.31510229624626,6.1743008400817,5.14847067505906,5.62704436272185,5.65737195982065,4.72393914961706,4.95564928136099
"mntR","b0817",8.80416938913917,8.69348089766669,7.77101668502342,7.87512703406538,8.85332443047428,8.61561168023844,8.90850255844746,7.72948955477414,7.87512703406538,7.89897190375497,8.79946304126276,8.66357326203983,8.75441035119711,7.68847873089207,7.86337618399366,7.61649295457045
"ybiR","b0818",8.36947598758258,8.33063389765235,6.99213348765409,6.98774911425198,8.3141043083198,7.96306575093237,8.29908950404048,7.43871746649977,7.29594909492535,7.519172429154,8.54604790836194,8.29585285454446,8.24155335092012,7.58926492347748,7.11008067862038,6.99546261799825
"ldtB","b0819",9.04522171914335,8.8456213780434,8.91790361752981,9.25171925500295,9.16373129270221,8.84404395577518,9.69341490305427,9.13180901121822,9.39953864352808,9.87426267058355,9.52842162189794,9.71947310023708,8.98474169349858,8.76253707412726,9.88144964210309,8.99573088948674
"ybiT","b0820",8.63067434547829,8.48738944340346,8.16639637954994,8.1292196852037,8.73559397603999,8.09770661890821,8.30690593361838,8.47741847046148,8.32128040563162,8.7187789838282,8.5675158661568,8.47903427151184,8.4642889212416,8.45782509525658,7.67622683422099,8.0548168235481
"ybiV","b0822",8.01770388203076,8.03076438016881,8.7140559186063,8.37393247201442,8.23233236254055,8.12316101576427,8.01770388203076,8.97003380554711,8.51406925376912,8.38191143248854,8.9731650774394,7.89424329151019,8.40243965227239,8.76421624434368,8.98474169349858,7.92133769072492
"ybiW","b0823",3.91711966799666,4.06891239461841,3.77998066119752,4.10070051519243,3.62775976938471,3.81671186536422,4.10770701364237,3.83718377378699,4.32119181541644,4.24189544358227,3.4936564080659,4.57973887266083,3.91017212488427,3.80758815137217,4.84342337081624,4.62844840943846
"fsaA","b0825",3.76827467193722,4.07457061981873,5.43218504024306,4.95564928136099,4.02085381692333,4.57186560522492,2.76060075575839,4.67143099311225,5.18915144461075,3.55805844738929,4.38827518847515,4.86869576809292,4.58580504050858,4.92018359287512,4.77341047753473,4.84342337081624
"moeB","b0826",7.26933961119604,7.00158756424182,7.79996852639484,7.79996852639484,7.58926492347748,7.21604734237073,7.41590653046517,7.38671327459836,8.06496789868248,7.68361840688094,7.76780338372824,8.05778759843985,7.28149936262358,7.61649295457045,7.86553763957077,7.98285454489723
"moeA","b0827",8.32128040563162,8.16406907212575,9.42659783768713,9.07267966343632,8.39817945100246,8.57102134344921,8.20508112586264,8.60054838606316,9.32364818801474,8.77038778000984,8.58210671939805,9.00087123918323,8.60344656305671,8.7187789838282,8.88181864830426,9.09580041140688
"iaaA","b0828",7.54538753677178,7.55372246866452,7.83884088084836,7.81469806732771,7.8828888955577,7.92609041456579,7.99545790257513,7.60763666039519,7.96508969930283,7.76780338372824,6.96714932424514,7.74047126548388,7.42888417245483,7.51734925963487,7.84945716780694,7.77995992020335
"gsiA","b0829",7.09569982236497,7.11180142628764,7.44507563218293,7.28759782181705,7.43871746649977,7.70052616260505,7.16320745264117,7.3914541724449,7.35763100022555,7.26933961119604,6.54763831684423,7.36447136385343,7.1809004823165,7.16758916311501,7.09041011292827,7.03280281427007
"gsiB","b0830",6.72019370321776,6.58979936984422,6.63339584815024,7.07269398146148,6.85255502933509,7.06318822549183,6.67470804036801,6.75208817911621,7.27353492278739,6.94165537931239,6.31510229624626,7.06318822549183,6.7397520109667,6.57508992806631,7.25075567445744,6.9008691562339
"gsiC","b0831",6.52876249501938,6.40181084860315,6.50840338796655,6.66606828499354,6.89533982728193,6.75903272652458,6.61266730124284,6.65163589281435,6.81630539882521,6.65163589281435,6.12614495311066,6.74414954356942,6.61037897959814,6.49294521564298,6.85645230201964,6.20327805854886
"gsiD","b0832",6.52202596833658,6.55459187407467,6.02108144170654,5.96830965589375,6.87189160892061,6.88759239642948,6.72537861979603,6.7046212322251,6.24973996873997,6.23127723830452,6.17922193417405,6.68464989859104,6.6483158521326,6.44831187832029,6.36566587708397,5.82905705053069
"rimO","b0835",7.41760063209464,7.12960802416818,7.90411958876925,7.69043240186722,7.10765987028164,7.30343805647547,7.06318822549183,8.42412823918142,7.40562584254007,8.39124996514311,8.27800484293615,7.76153835720444,7.88774487841552,8.29908950404048,7.31945651470927,7.1959771053437
"bssR","b0836",2.85253810885415,2.45468505540378,7.90143300149562,7.58926492347748,2.67921287970992,2.45468505540378,2.92000908051939,2.58966680867281,5.93252335598714,4.3145264468794,2.77839913238448,5.76084161167705,4.04469411008918,5.88381162208134,7.32906047108111,8.88420723877538
"gstB","b0838",7.71096972359516,7.66171128477159,8.27305222859041,8.50024614897477,7.97544242977721,8.20774108871819,7.99922379169665,7.95809723397073,9.05343525392662,7.98444097224567,7.96941997170448,8.00311517719763,8.30297242423677,7.72948955477414,9.07743500297333,8.11820289290312
"dacC","b0839",6.93766466319887,6.89033467622554,7.24230816917279,7.36243402825735,7.20008532230701,7.12255981810912,7.27133323715651,7.20745035573677,8.12740735891629,7.47786289135933,6.82917083201397,7.70918242355192,7.70668421965038,7.06486026780703,7.99922379169665,7.2933578830412
"deoR","b0840",7.53153143973717,7.52132460934893,7.41130060234952,7.36447136385343,7.65895096488441,7.28298847850991,7.28149936262358,7.9725621386719,7.09569982236497,7.71344265879106,7.55160405224848,7.25509079459602,7.19001810381541,7.94315547619798,7.33128866887029,7.29594909492535
"mdfA","b0842",7.38671327459836,7.03280281427007,6.24973996873997,6.17620253155764,6.66325051620736,6.42725155009227,7.12673995057033,6.38707705317395,6.03196811774964,6.9471282245231,7.16758916311501,6.97787837627827,6.68770068080467,6.44153840053728,5.64426548789485,6.13841914164562
"ybjH","b0843",6.3414985452659,6.22461332121857,5.54442525031654,5.78330336473776,6.20327805854886,6.26111662946839,6.22461332121857,6.47267151977375,5.96521471922834,6.0244958964333,6.20327805854886,6.09505114244809,6.10332937900944,6.09087334094658,5.6130579220427,5.31335615698164
"ybjI","b0844",7.07528886724125,7.02488961971494,7.00511120389952,7.03502372682337,6.81426737693166,7.07528886724125,7.04651410563759,7.12255981810912,6.86224479335465,6.9008691562339,6.85645230201964,6.83207250702443,6.89249071750567,6.76410454133834,7.49382530532996,6.82917083201397
"ybjJ","b0845",6.48839396719205,6.23127723830452,5.71234984536871,5.57741904415125,5.9874289149817,5.98408011544853,5.95399044420136,6.38026774206611,6.02108144170654,5.93731390939647,6.20025866283696,6.1743008400817,5.94968731965576,6.23619889619312,6.08490124403638,5.1432440835342
"rcdA","b0846",6.12015384179624,6.09087334094658,6.19562224228902,6.14667906227067,5.56957779147689,5.74396753084781,5.51923541726738,5.44498140913393,5.57227541877069,5.01756515930658,5.86974796628834,5.6057301759199,5.32725063688544,5.95399044420136,5.6662184520112,6.23970905592044
"ybjL","b0847",6.6483158521326,6.63126711081105,6.91424305322602,6.77740871138294,6.69113263975744,5.93731390939647,6.38350786234532,6.75903272652458,5.397866498236,7.37549893460047,6.29805463513138,6.602190572598,6.43504475075141,6.89533982728193,5.44498140913393,6.95550166372852
"grxA","b0849",6.42725155009227,6.7869539897517,4.89247418883846,5.22504038918094,6.55459187407467,5.67646979460682,6.89533982728193,5.1546238090704,5.84969682024365,6.04923302163256,6.00197383021249,6.15773773751332,5.68544987205962,4.61692644234163,6.45576814067984,5.49322647369029
"ybjC","b0850",11.9408464421588,11.8249158807288,12.5770674248477,12.9305005480622,11.929845268013,13.2745292419473,12.5488238129621,13.3995765692965,13.1237484286547,12.9526887894043,12.5363952230748,13.5962594673466,11.7920369537058,13.1237484286547,13.6831393282235,13.573417720751
"nfsA","b0851",7.89048583994056,8.00949677099505,9.03978677770633,8.84404395577518,8.06296257761116,9.42461226229454,7.519172429154,9.85069395322576,8.82582942008253,8.54192453460305,9.01512596615543,9.55603455044328,8.28717739288061,9.75813683720854,8.39399659571418,8.98317441372667
"rimK","b0852",7.74047126548388,7.39954362608019,7.89286748720718,8.0287326944714,7.73754028896526,8.32339148969526,7.59092116587366,8.71518245663747,8.15863619975877,8.36282141764013,7.71550989707217,8.68317951413709,7.48053192451985,8.37758018940287,7.63822181685008,8.1942969105258
"ybjN","b0853",10.0896079838254,10.2562416052852,10.3799601285556,10.2665745352284,10.1687020351398,10.6566445148142,10.1751692137046,10.8619137552154,10.2965080381792,10.1341459415221,10.3685804449396,10.3516445780001,10.0542440981355,10.6748664094886,10.5006369093057,10.4539053153227
