"Node","Sector","TRorNon_TR","SRorNon_SR"
"yhjJ","out","Non-TR","Non-SR"
"HigA","out","TR","Non-SR"
"ydfD","out","Non-TR","Non-SR"
"nuoF","out","Non-TR","Non-SR"
"RhaR","out","TR","SR"
"idnD","out","Non-TR","Non-SR"
"ymdA","out","Non-TR","Non-SR"
"fabB","out","Non-TR","Non-SR"
"folE","out","Non-TR","Non-SR"
"hycG","out","Non-TR","Non-SR"
"nanS","out","Non-TR","Non-SR"
"serX","out","Non-TR","Non-SR"
"ygfI","out","Non-TR","Non-SR"
"rpsH","out","Non-TR","Non-SR"
"pntA","out","Non-TR","Non-SR"
"uspG","out","Non-TR","Non-SR"
"rhaD","out","Non-TR","Non-SR"
"copA","out","Non-TR","Non-SR"
"yghR","out","Non-TR","Non-SR"
"purC","out","Non-TR","Non-SR"
"ampG","out","Non-TR","Non-SR"
"serA","out","Non-TR","Non-SR"
"pheL","out","Non-TR","Non-SR"
"yeaR","out","Non-TR","Non-SR"
"lptD","out","Non-TR","Non-SR"
"ndh","out","Non-TR","Non-SR"
"ymjA","out","Non-TR","Non-SR"
"tff","out","Non-TR","Non-SR"
"yibA","out","Non-TR","Non-SR"
"fpr","out","Non-TR","Non-SR"
"emrA","out","Non-TR","Non-SR"
"ydhI","out","Non-TR","Non-SR"
"rplS","out","Non-TR","Non-SR"
"rclB","out","Non-TR","Non-SR"
"napH","out","Non-TR","Non-SR"
"cmoM","out","Non-TR","Non-SR"
"lnt","out","Non-TR","Non-SR"
"XylR","out","TR","SR"
"glnK","out","Non-TR","Non-SR"
"pstC","out","Non-TR","Non-SR"
"ilvX","out","Non-TR","Non-SR"
"thyA","out","Non-TR","Non-SR"
"evgS","out","Non-TR","Non-SR"
"feoC","out","Non-TR","Non-SR"
"rof","out","Non-TR","Non-SR"
"bioC","out","Non-TR","Non-SR"
"ispB","out","Non-TR","Non-SR"
"yfhL","out","Non-TR","Non-SR"
"tauC","out","Non-TR","Non-SR"
"cheY","out","Non-TR","Non-SR"
"yoaG","out","Non-TR","Non-SR"
"bglG","out","Non-TR","Non-SR"
"ybeX","out","Non-TR","Non-SR"
"ptrA","out","Non-TR","Non-SR"
"lpxB","out","Non-TR","Non-SR"
"gspC","out","Non-TR","Non-SR"
"ynbB","out","Non-TR","Non-SR"
"glpC","out","Non-TR","Non-SR"
"mdtI","out","Non-TR","Non-SR"
"murE","out","Non-TR","Non-SR"
"yciX","out","Non-TR","Non-SR"
"ybeY","out","Non-TR","Non-SR"
"dsbA","out","Non-TR","Non-SR"
"wza","out","Non-TR","Non-SR"
"glgB","out","Non-TR","Non-SR"
"rssB","out","Non-TR","Non-SR"
"ybcK","out","Non-TR","Non-SR"
"hdeD","out","Non-TR","Non-SR"
"adeD","out","Non-TR","Non-SR"
"FecI","out","TR","Non-SR"
"valS","out","Non-TR","Non-SR"
"gudX","out","Non-TR","Non-SR"
"ugpC","out","Non-TR","Non-SR"
"ssrS","out","Non-TR","Non-SR"
"ybiT","out","Non-TR","Non-SR"
"secB","out","Non-TR","Non-SR"
"tdcG","out","Non-TR","Non-SR"
"ydgH","out","Non-TR","Non-SR"
"aroK","out","Non-TR","Non-SR"
"yjiN","out","Non-TR","Non-SR"
"ydhT","out","Non-TR","Non-SR"
"metV","out","Non-TR","Non-SR"
"rffC","out","Non-TR","Non-SR"
"fxsA","out","Non-TR","Non-SR"
"malF","out","Non-TR","Non-SR"
"sokC","out","Non-TR","Non-SR"
"abgR","out","Non-TR","Non-SR"
"mnmG","out","Non-TR","Non-SR"
"manX","out","Non-TR","Non-SR"
"ybbW","out","Non-TR","Non-SR"
"ssb","out","Non-TR","Non-SR"
"YgbI","outtendrils","TR","Non-SR"
"AtoC","outtendrils","TR","SR"
"KdpE","outtendrils","TR","SR"
"YhaJ","outtendrils","TR","Non-SR"
"BirA","outtendrils","TR","SR"
"HypT","outtendrils","TR","Non-SR"
"EnvY","outtendrils","TR","Non-SR"
"ModE","outtendrils","TR","SR"
"PgrR","outtendrils","TR","Non-SR"
"DeoR","outtendrils","TR","SR"
"CueR","outtendrils","TR","SR"
"EnvR","outtendrils","TR","Non-SR"
"GlpR","outtendrils","TR","SR"
"NadR","outtendrils","TR","SR"
"Zur","outtendrils","TR","SR"
"NanR","outtendrils","TR","SR"
"RclR","outtendrils","TR","Non-SR"
"DicA","outtendrils","TR","Non-SR"
"FabR","outtendrils","TR","Non-SR"
"YfeC","outtendrils","TR","Non-SR"
"RacR","outtendrils","TR","Non-SR"
"PyrR","outtendrils","TR","SR"
"MntR","outtendrils","TR","SR"
"EbgR","outtendrils","TR","Non-SR"
"UlaR","outtendrils","TR","SR"
"GatR","outtendrils","TR","SR"
"YidZ","outtendrils","TR","Non-SR"
"NorR","tubes","TR","Non-SR"
"YqhC","tubes","TR","Non-SR"
"TtdR","tubes","TR","SR"
