"Node","Sector","TRorNon_TR","SRorNon_SR"
"yfcC","out","Non-TR","Non-SR"
"aspS","out","Non-TR","Non-SR"
"rplK","out","Non-TR","Non-SR"
"ynjI","out","Non-TR","Non-SR"
"dpiB","out","Non-TR","Non-SR"
"wrbA","out","Non-TR","Non-SR"
"mhpC","out","Non-TR","Non-SR"
"dsdA","out","Non-TR","Non-SR"
"ytfJ","out","Non-TR","Non-SR"
"symR","out","Non-TR","Non-SR"
"grxC","out","Non-TR","Non-SR"
"ulaD","out","Non-TR","Non-SR"
"flgI","out","Non-TR","Non-SR"
"yjjY","out","Non-TR","Non-SR"
"leuQ","out","Non-TR","Non-SR"
"ykfG","out","Non-TR","Non-SR"
"DecR","out","TR","Non-SR"
"nikE","out","Non-TR","Non-SR"
"yeaG","out","Non-TR","Non-SR"
"nfo","out","Non-TR","Non-SR"
"cbrC","out","Non-TR","Non-SR"
"ftnB","out","Non-TR","Non-SR"
"csgF","out","Non-TR","Non-SR"
"YieP","out","TR","Non-SR"
"ydcU","out","Non-TR","Non-SR"
"fucP","out","Non-TR","Non-SR"
