Gene,41_1Ti9,E101,E1167,HS,H120,TA054,TA249,TA280,TA447,M114,E1114,MG1655,ROAR8,JJ1886,UTI89,S88
ygeV,4.94457372,5.958761338,5.007132456,4.236358132,4.965335391,5.580716977,5.998835169,5.249605936,6.072668094,5.081314735,6.307176963,7.410373598,6.02474459,5.748060053,6.148784576,6.379998637
ygeW,1.455648725,2.66401459,1.655235437,0.635037835,1.491269289,1.884382082,1.525241978,1.664338788,2.308148811,1.312124282,2.092623807,2.639103467,1.455611802,1.94539114,2.362126895,1.417267607
ygeX,1.378261858,2.0059451,1.546079106,1.086679252,1.261978711,1.167869646,1.518145817,1.752194992,1.79872584,1.247019511,2.233775956,2.515585196,1.606016968,1.70663489,1.10874154,1.165861925
ygeY,2.573867611,3.163374035,1.399210197,2.114304199,2.362559182,2.402825991,3.235222775,2.55862392,2.49800731,2.435421826,2.433030801,3.544515966,2.781552426,2.780186582,3.045376575,2.916634839
ygfB,8.603570376,8.342940522,8.615787931,8.714193919,8.236635153,8.365556455,8.571700311,8.282403929,8.587787518,8.463938678,8.52186055,9.027588581,8.67925559,8.341445715,8.304988311,8.438144332
ygfM,1.607948235,2.1065383,2.238342658,1.830438071,2.499368558,2.097622469,2.695152713,2.430032893,2.264388783,2.25238941,2.886376756,2.208012914,2.264320389,2.13992388,2.185801217,2.01221284
ygfS,0.88387497,0.9556019,1.627176395,1.013957739,0.947120264,1.669018652,1.563510957,2.21922765,2.012307785,1.138167558,2.137415638,0,1.217316228,1.632410394,1.041982022,1.660870649
ygfT,1.753769112,1.07104228,1.669962856,1.354924333,1.531489472,1.939080383,1.659205443,1.734709379,1.110487604,1.785155882,2.055348974,1.613104289,1.467025134,1.934670331,1.862762064,1.898885497
ygfX,6.86432662,7.26063934,7.287591821,7.241077774,7.204641856,7.407566176,7.689927407,7.239317384,7.21692227,6.922590815,7.245677376,7.814778815,7.668868125,8.004064349,7.690891203,7.958586476
ygfZ,7.715804153,7.609464093,7.561957942,7.504505367,7.742953401,7.42659964,7.689109165,7.552305649,7.146309971,7.976767493,7.500985647,8.818204884,7.684956508,7.19692896,7.844536784,7.726586676
