Gene deletion	alpha_max (min-1)	Odmax	ECKnb
yfjW	0.009268192515225	0.618745883461874	ECK2638
ygaM	0.009230659866891	0.544077007573741	ECK2666
ydfR	0.009107038326995	0.595885470054404	ECK1549
ydgD	0.010782760929445	0.544269385084884	ECK1593
ydhR	0.009908033640012	0.619204425742126	ECK1663
yniB	0.01032968163054	0.591026855011691	ECK1724
yoaG	0.009499451351452	0.548243972650233	ECK1794
yebZ	0.009922371384172	0.65811804172545	ECK1841
yecJ	0.010064109873219	0.677942034384964	ECK1901
yedR	0.010259267150278	0.667412076571102	ECK1961
yfhG	0.008978223785608	0.612757372187402	ECK2552
yfjI	0.009893524273644	0.678888858605069	ECK2621
ygaH	0.009543911038516	0.71854218769367	ECK2677
ydfU	0.009396913452583	0.562161335149821	ECK1554
ydgH	0.010690948055855	0.647402979709649	ECK1599
ydhS	0.010108814651895	0.661290062864192	ECK1664
chbG	0.009873445699921	0.664813996651801	ECK1731
yeaR	0.009594407511699	0.640881835299264	ECK1795
yobB	0.00923826578154	0.56911582723759	ECK1844
yecR	0.008859632011216	0.622059833301831	ECK1903
yeeA	0.010444057537422	0.607301603378894	ECK2002
yehE	0.010169495821581	0.625873497850854	ECK2105
yehS	0.010881550659252	0.637558593889681	ECK2116
ycfT	0.009140787332416	0.605157828670819	ECK1101
yciF	0.00894724261914	0.617548827150975	ECK1252
ycjY	0.00959571805021	0.625335384097833	ECK1324
ydaU	0.009566630977649	0.641940557366968	ECK1357
ynbD	0.009807786875162	0.628989189764373	ECK1404
yeeE	0.010463057030481	0.66280222910359	ECK2007
yehI	0.009544363732389	0.634654129635808	ECK2109
yccJ	0.010462482602641	0.59933844143268	ECK0994
pliG	0.009722503601841	0.596273390774027	ECK1166
yciG	0.010005470827284	0.649691670712946	ECK1253
ynaJ	0.00992884246077	0.61758319469151	ECK1328
ydcF	0.010099567826116	0.623644425119735	ECK1407
