Original_Name,Prom,ORF,Prom_ORF,Cel,Replicate,Name
fliA_ihfAB_14b.CEL,fliA,ihfAB,fliA_ihfAB,14b.CEL,rep2,fliA_ihfAB_rep2
fliA_ihfAB_14c.CEL,fliA,ihfAB,fliA_ihfAB,14c.CEL,rep3,fliA_ihfAB_rep3
fecI_rpoE_153a.CEL,fecI,rpoE,fecI_rpoE,153a.CEL,rep1,fecI_rpoE_rep1
fecI_rpoE_153b.CEL,fecI,rpoE,fecI_rpoE,153b.CEL,rep2,fecI_rpoE_rep2
fecI_rpoE_153c.CEL,fecI,rpoE,fecI_rpoE,153c.CEL,rep3,fecI_rpoE_rep3
fecI_fecI_154a.CEL,fecI,fecI,fecI_fecI,154a.CEL,rep1,fecI_fecI_rep1
fecI_fecI_154b.CEL,fecI,fecI,fecI_fecI,154b.CEL,rep2,fecI_fecI_rep2
fecI_fecI_154c.CEL,fecI,fecI,fecI_fecI,154c.CEL,rep3,fecI_fecI_rep3
crp_fis_15a.CEL,crp,fis,crp_fis,15a.CEL,rep1,crp_fis_rep1
crp_fis_15b.CEL,crp,fis,crp_fis,15b.CEL,rep2,crp_fis_rep2
crp_fis_15c.CEL,crp,fis,crp_fis,15c.CEL,rep3,crp_fis_rep3
pheS_0_16a.CEL,pheS,0,pheS_0,16a.CEL,rep1,pheS_0_rep1
pheS_0_16b.CEL,pheS,0,pheS_0,16b.CEL,rep2,pheS_0_rep2
pheS_0_16c.CEL,pheS,0,pheS_0,16c.CEL,rep3,pheS_0_rep3
hns_rpoD_171a.CEL,hns,rpoD,hns_rpoD,171a.CEL,rep1,hns_rpoD_rep1
hns_rpoD_171b.CEL,hns,rpoD,hns_rpoD,171b.CEL,rep2,hns_rpoD_rep2
hns_rpoD_171c.CEL,hns,rpoD,hns_rpoD,171c.CEL,rep3,hns_rpoD_rep3
hns_fnr_178a.CEL,hns,fnr,hns_fnr,178a.CEL,rep1,hns_fnr_rep1
hns_fnr_178b.CEL,hns,fnr,hns_fnr,178b.CEL,rep2,hns_fnr_rep2
hns_fnr_178c.CEL,hns,fnr,hns_fnr,178c.CEL,rep3,hns_fnr_rep3
pheS_fis_17a.CEL,pheS,fis,pheS_fis,17a.CEL,rep1,pheS_fis_rep1
pheS_fis_17b.CEL,pheS,fis,pheS_fis,17b.CEL,rep2,pheS_fis_rep2
pheS_fis_17c.CEL,pheS,fis,pheS_fis,17c.CEL,rep3,pheS_fis_rep3
pheS_fecI_18a.CEL,pheS,fecI,pheS_fecI,18a.CEL,rep1,pheS_fecI_rep1
pheS_fecI_18b.CEL,pheS,fecI,pheS_fecI,18b.CEL,rep2,pheS_fecI_rep2
pheS_fecI_18c.CEL,pheS,fecI,pheS_fecI,18c.CEL,rep3,pheS_fecI_rep3
fliA_fliA_198a.CEL,fliA,fliA,fliA_fliA,198a.CEL,rep1,fliA_fliA_rep1
fliA_fliA_198c.CEL,fliA,fliA,fliA_fliA,198c.CEL,rep2,fliA_fliA_rep2
fliA_fliA_198b.CEL,fliA,fliA,fliA_fliA,198b.CEL,rep3,fliA_fliA_rep3
pheS_hns_19a.CEL,pheS,hns,pheS_hns,19a.CEL,rep1,pheS_hns_rep1
pheS_hns_19b.CEL,pheS,hns,pheS_hns,19b.CEL,rep2,pheS_hns_rep2
pheS_hns_19c.CEL,pheS,hns,pheS_hns,19c.CEL,rep3,pheS_hns_rep3
_Co_1b.CEL,,Co,Co,1b.CEL,rep1,Co_rep1
_Co_1a.CEL,,Co,Co,1a.CEL,rep2,Co_rep2
_Co_1c.CEL,,Co,Co,1c.CEL,rep3,Co_rep3
_Co_1d.CEL,,Co,Co,1d.CEL,rep4,Co_rep4
_Co_1e.CEL,,Co,Co,1e.CEL,rep5,Co_rep5
pheS_ompR_20a.CEL,pheS,ompR,pheS_ompR,20a.CEL,rep1,pheS_ompR_rep1
pheS_ompR_20b.CEL,pheS,ompR,pheS_ompR,20b.CEL,rep2,pheS_ompR_rep2
pheS_ompR_20c.CEL,pheS,ompR,pheS_ompR,20c.CEL,rep3,pheS_ompR_rep3
rpsA_ihfAB_21a.CEL,rpsA,ihfAB,rpsA_ihfAB,21a.CEL,rep1,rpsA_ihfAB_rep1
rpsA_ihfAB_21b.CEL,rpsA,ihfAB,rpsA_ihfAB,21b.CEL,rep2,rpsA_ihfAB_rep2
rpsA_ihfAB_21c.CEL,rpsA,ihfAB,rpsA_ihfAB,21c.CEL,rep3,rpsA_ihfAB_rep3
flhD_0_22a.CEL,flhD,0,flhD_0,22a.CEL,rep1,flhD_0_rep1
flhD_0_22b.CEL,flhD,0,flhD_0,22b.CEL,rep2,flhD_0_rep2
flhD_0_22c.CEL,flhD,0,flhD_0,22c.CEL,rep3,flhD_0_rep3
flhD_fis_23a.CEL,flhD,fis,flhD_fis,23a.CEL,rep1,flhD_fis_rep1
flhD_fis_23b.CEL,flhD,fis,flhD_fis,23b.CEL,rep2,flhD_fis_rep2
flhD_fis_23c.CEL,flhD,fis,flhD_fis,23c.CEL,rep3,flhD_fis_rep3
arcA_arcA_242a.CEL,arcA,arcA,arcA_arcA,242a.CEL,rep1,arcA_arcA_rep1
arcA_arcA_242b.CEL,arcA,arcA,arcA_arcA,242b.CEL,rep2,arcA_arcA_rep2
arcA_arcA_242c.CEL,arcA,arcA,arcA_arcA,242c.CEL,rep3,arcA_arcA_rep3
flhD_fecI_24a.CEL,flhD,fecI,flhD_fecI,24a.CEL,rep1,flhD_fecI_rep1
flhD_fecI_24b.CEL,flhD,fecI,flhD_fecI,24b.CEL,rep2,flhD_fecI_rep2
