regulator_protein_eccid,regulator_genes_eccid,regulator_ids,names,regulation,targets_inhibition_eccid,targets_activation_eccid,protein,regulator,category
MONOMER0-2421,G6195,b0330,prpR,G6200@G6199@G6198@G6196@G6195,G6195,G6200@G6199@G6198@G6196,"DNA-binding transcriptional dual regulator PrpR-(2<i>S</i>,3<i>S</i>)-2-methylcitrate",PrpR,TF
CPLX0-981,EG12344,b1303,pspF,EG10776@EG10777@EG10778@EG10779@EG10780,EG12344,G0-16700@EG11933@EG10776@EG10777@EG10778@EG10779@EG10780,DNA-binding transcriptional dual regulator PspF,PspF,TF
EG12140-MONOMER,EG12140,b1659,punR,EG12141,,EG12141,DNA-binding transcriptional activator PunR,YdhB,TF
CPLX-123,EG10800,b1658,purR,EG11809@EG10790@EG10134@EG10135@EG10420@EG10421@EG10960@EG10959@EG10774@EG10408@EG10798@EG10799@EG11810@EG10371@EG11442@EG11327@EG11326@EG10800@EG10384@EG10796@EG10793@EG10807@EG11044@EG10794@EG10169@EG11314@EG11345@EG10806@EG10797@EG10792@EG10795@EG10791,EG11809@EG10790@EG10134@EG10135@EG10420@EG10421@EG10960@EG10959@EG10774@EG10408@EG10798@EG10799@EG11810@EG10371@EG11442@EG11327@EG11326@EG10800@EG10384@EG10796@EG10793@EG10807@EG11044@EG10794@EG10169@EG11314@EG11345@EG10806@EG10797@EG10792@EG10795@EG10791,,DNA-binding transcriptional repressor PurR-hypoxanthine,PurR,TF
PUTA-MONOMER,EG10801,b1014,putA,EG10802@EG10801,EG10802@EG10801,,fused DNA-binding transcriptional repressor / proline dehydrogenase / 1-pyrroline-5-carboxylate dehydrogenase PutA,PutA,TF
EG12431-MONOMER,EG12431,b1299,puuR,G0-16737@G6643@G6644@G6646@EG11822@EG10036@EG12431@G6645,G0-16737@G6643@G6644@G6646@EG11822@EG10036@EG12431@G6645,,DNA-binding transcriptional repressor PuuR,PuuR,TF
CPLX0-8309,G7244,b2381,pyrR,EG12268,,EG12268,PyrR-pyruvate,PyrR,TF
MONOMER0-2741,G7575,b3025,qseB,EG10235@EG10311@EG10315@EG10314@EG10313@EG10310@EG11974@EG10308@G6706@EG12658@G7575@EG10319@EG10320,EG10235@G6706,EG10311@EG10315@EG10314@EG10313@EG10310@EG11974@EG10308@G6706@EG12658@G7575@EG10319@EG10320,Phosphorylated DNA-binding transcriptional activator QseB,QseB,TF
G6680-MONOMER,G6680,b1356,racR,G6686@G6685@G6684@G6683@G6682@G6681,G6686@G6685@G6684@G6683@G6682@G6681,,Rac prophage; DNA-binding transcriptional repressor RacR,RacR,TF
PD03867,EG10819,b3753,rbsR,EG10792@EG10795@EG10819@EG10817@EG10814@EG10816@EG10815@EG10818,EG10792@EG10795@EG10819@EG10817@EG10814@EG10816@EG10815@EG10818,EG11418@EG11701@EG10030,DNA-binding transcriptional dual regulator RbsR,RbsR,TF
CPLX0-8597,G6444,b0846,rcdA,EG50004@EG11738@G6148@EG11644@G6543@G6544@G6545@G6546@G6855@G6603@EG10984@G6443@G6442@G6444,G6148@EG10984@G6443@G6442,EG50004@EG11738@EG11644@G6543@G6544@G6545@G6546@G6855@G6603@G6444,DNA binding transcriptional dual regulator RcdA,RcdA,TF
G6175-MONOMER,G6175,b0305,rclR,G6171@G6173@G6174,,G6171@G6173@G6174,DNA-binding transcriptional activator RclR,RclR,TF
G7137-MONOMER,G7137,b2105,rcnR,G7137@G7139@G7138,G7137@G7139@G7138,,DNA-binding transcriptional repressor RcnR,RcnR,TF
PC00084,EG10821@EG10820,b2217@b1951,rcsB@rcsA,G7103@G7104@G7105@G7106@G7107@EG10820@EG10319@EG10320@G6543@G6544@G6545@G6546@EG11926@EG11925@EG11924@EG11923,EG12243@EG50009@EG10319@EG10320@G6543@G6544@G6545@G6546,G0-16690@G7347@G7348@EG12341@EG11897@G0-8863@G6789@G6790@G6786@EG11490@EG10680@EG11508@G6776@G0-8914@EG11495@EG11400@EG11399@EG11398@EG12690@G6465@EG10679@G6791@EG10347@EG10339@G6956@G6730@G6729@G6728@G6727@G6231@EG11707@G7577@G7566@G7026@EG10656@EG11992@EG10531@EG10114@EG10115@EG10116@EG12228@EG10090@EG11889@EG11890@EG10131@EG10132@EG12462@EG12243@EG50009@G7103@G7104@G7105@G7106@G7107@EG10820@EG11926@EG11925@EG11924@EG11923,RcsAB DNA-binding transcriptional dual regulator,RcsAB,TF
PHOSPHO-RCSB,EG10821,b2217,rcsB,G0-16690@G7347@G7348@EG12341@EG11897@EG12243@EG50009@G0-8863@G6789@G6790@G6786@EG11490@EG10680@EG11508@G6776@G0-8914@EG11495@EG11400@EG11399@EG11398@EG12690@G6465@EG10679@G6791@EG10347@EG10339,EG12243@EG50009@EG10319@EG10320@G6543@G6544@G6545@G6546,G0-16690@G7347@G7348@EG12341@EG11897@G0-8863@G6789@G6790@G6786@EG11490@EG10680@EG11508@G6776@G0-8914@EG11495@EG11400@EG11399@EG11398@EG12690@G6465@EG10679@G6791@EG10347@EG10339@G6956@G6730@G6729@G6728@G6727@G6231@EG11707@G7577@G7566@G7026@EG10656@EG11992@EG10531@EG10114@EG10115@EG10116@EG12228@EG10090@EG11889@EG11890@EG10131@EG10132@EG12462@EG12243@EG50009@G7103@G7104@G7105@G7106@G7107@EG10820@EG11926@EG11925@EG11924@EG11923,DNA-binding transcriptional dual regulator RcsB-phosphorylated,RcsB,TF
CPLX0-7916,G7948@EG10821,b4366@b2217,bglJ@rcsB,G6956@G6730@G6729@G6728@G6727@G6231@EG11707@G7577@G7566@G7026@EG10656@EG11992@EG10531@EG10114@EG10115@EG10116,@EG12243@EG50009@EG10319@EG10320@G6543@G6544@G6545@G6546,G6956@G6730@G6729@G6728@G6727@G6231@EG11707@G7577@G7566@G7026@EG10656@EG11992@EG10531@EG10114@EG10115@EG10116@G0-16690@G7347@G7348@EG12341@EG11897@G0-8863@G6789@G6790@G6786@EG11490@EG10680@EG11508@G6776@G0-8914@EG11495@EG11400@EG11399@EG11398@EG12690@G6465@EG10679@G6791@EG10347@EG10339@EG12228@EG10090@EG11889@EG11890@EG10131@EG10132@EG12462@EG12243@EG50009@G7103@G7104@G7105@G7106@G7107@EG10820@EG11926@EG11925@EG11924@EG11923,RcsB-BglJ DNA-binding transcriptional activator,RcsB-BglJ,TF
CPLX0-7928,EG10836,b1564,relB,EG11130@EG11131@EG10836,EG11130@EG11131@EG10836,,Qin prophage; antitoxin/DNA-binding transcriptional repressor RelB,RelB,TF
CPLX0-7791,EG10836@EG11131,b1564@b1563,relB@relE,EG11130@EG11131@EG10836,EG11130@EG11131@EG10836,,RelB-RelE antitoxin/toxin complex / DNA-binding transcriptional repressor,RelB-RelE,TF
MONOMER-47,EG10842,b3906,rhaR,EG10843@EG10842,,EG10843@EG10842,RhaR-L-rhamnose DNA-binding transcriptional activator,RhaR,TF
PD00221,EG10843,b3905,rhaS,EG11313@EG10843@EG10842,,EG10843@EG10842@EG11866@EG11867@EG11868@EG11313,DNA-binding transcriptional activator RhaS,RhaS,TF
PD04418,EG11366,b4396,rob,EG12315@G6742@G6423@EG12136@EG10638@EG11381@EG12403@EG11943@G7647@EG12624@EG10280@EG11530@EG10278@EG10279@G7173@G6944@EG11942@EG11448@EG10035@G7654@EG12656@EG10570@EG11411@EG10207@G6396@EG11366@EG10358@EG50005@EG11325@G6447@EG10852@EG11261@EG12842@EG11165@EG11164@EG11009@EG10090@EG11373@G6422@EG11422@EG11221@EG11435@EG11434@EG11599@EG10953@EG30063@EG10651@EG11703@EG11704,EG11943@G7647@EG12624@EG10280@EG11530@EG10278@EG10279@G7173@G6944@EG11942@EG11448@EG11366,EG12315@G6742@G6423@EG12136@EG10638@EG11381@EG12403@EG10035@G7654@EG12656@EG10570@EG11411@EG10207@G6396@EG10358@EG50005@EG11325@G6447@EG10852@EG11261@EG12842@EG11165@EG11164@EG11009@EG10090@EG11373@G6422@EG11422@EG11221@EG11435@EG11434@EG11599@EG10953@EG30063@EG10651@EG11703@EG11704,DNA-binding transcriptional dual regulator Rob,Rob,TF
G6814-MONOMER,G6814,b1540,rspR,G6839@G6838,G6839@G6838,,DNA-binding transcriptional repressor RspR,YdfH,TF
PHOSPHO-RSTA,G6864,b1608,rstA,EG10638@EG10639@EG10641@EG10640@EG10671@G6543@G6544@G6545@G6546@G6855,EG10671@G6543@G6544@G6545@G6546,EG10638@EG10639@EG10641@EG10640@G6855,DNA-binding transcriptional regulator RstA-phosphorylated,RstA,TF
EG12356-MONOMER,EG12356,b3422,rtcR,G7750@G7751,,G7750@G7751,DNA-binding transcriptional activator RtcR,RtcR,TF
PD01352,EG12301,b1013,rutR,EG10294@G6891@G6890@G6889@G6523@G6522@G6521@G6520@G6519@G6518@G6517@EG12301@EG12242@EG12243@EG10134@EG10135@G6639,EG10294@G6891@G6890@G6889@G6523@G6522@G6521@G6520@G6519@G6518@G6517@EG12301@EG12242@EG12243@G6639,EG10134@EG10135,DNA-binding transcriptional dual regulator RutR,RutR,TF
PD02198,EG10935,b1916,sdiA,G0-8914@EG50004@EG11738@EG12242@G6925@EG10342@EG10339@EG10347,EG10342@EG10339@EG10347,G0-8914@EG50004@EG11738@EG12242@G6925@EG10342,DNA-binding transcriptional dual regulator SdiA,SdiA,TF
EG12094-MONOMER,EG12094,b0069,sgrR,G7242@EG12094@G0-9381@EG11574@EG11573@EG11572@G0-10617@EG11754@G0-9941,EG12094@G0-9381@EG11574@EG11573@EG11572,G7242@G0-10617@EG11754@G0-9941,DNA-binding transcriptional dual regulator SgrR,SgrR,TF
CPLX0-8563,G6882,b1642,slyA,EG50004@EG11738@EG12180@EG10531@EG11359@EG12173@G7711@G7710@G7709@G7708@G7707@G7706@G7705@G7704@G7703@G7702@G6882@EG12576@G7933@EG12557@G0-10241@EG12556@G7915@EG12554@G7914@G7913@G6719@G6718@G6717@G6716@G6715@G6714@G6713@G6712@G6711@G6710@G6709@G6480@G7430@G7429@G7428@G7427@G7426@G7425@EG12845@EG10292@EG10291@G6619,EG12557@G0-10241@EG12556@G7915@EG12554@G7914@G7913@EG10292@EG10291,EG50004@EG11738@EG12180@EG10531@EG11359@EG12173@G7711@G7710@G7709@G7708@G7707@G7706@G7705@G7704@G7703@G7702@G6882@EG12576@G7933@G6719@G6718@G6717@G6716@G6715@G6714@G6713@G6712@G6711@G6710@G6709@G6480@G7430@G7429@G7428@G7427@G7426@G7425@EG12845@G6619,DNA-binding transcriptional dual regulator SlyA,SlyA,TF
PD04132,EG10957,b4063,soxR,EG11937@EG10953@G7667@EG11039@EG10078@EG10958@EG10358@EG10957,EG10957,EG11937@EG10953@G7667@EG11039@EG10078@EG10958@EG10358,DNA-binding transcriptional dual regulator SoxR,SoxR,TF
PD00406,EG10958,b4062,soxS,EG10131@EG11124@EG11689@G7667@G6247@EG10035@G7654@EG12656@EG10570@EG11411@EG10207@G6700@G6701@G6396@EG11366@EG50005@EG11325@EG11426@EG11425@EG11165@EG11164@EG11009@EG10702@EG10787@G7061@EG10318@G0-10580@EG10359@G6447@EG10852@EG11261@EG12842@EG11422@EG12697@EG11331@EG11221@EG10958@EG11435@EG11434@EG11599@EG10358@EG10953@EG30063@EG10651@EG10628@G6492@G6491@G6490@EG10754@EG11703@EG11704,EG11124@EG11366@EG10958,EG10131@EG11689@G7667@G6247@EG10035@G7654@EG12656@EG10570@EG11411@EG10207@G6700@G6701@G6396@EG50005@EG11325@EG11426@EG11425@EG11165@EG11164@EG11009@EG10702@EG10787@G7061@EG10318@G0-10580@EG10359@G6447@EG10852@EG11261@EG12842@EG11422@EG12697@EG11331@EG11221@EG11435@EG11434@EG11599@EG10358@EG10953@EG30063@EG10651@EG10628@G6492@G6491@G6490@EG10754@EG11703@EG11704,DNA-binding transcriptional dual regulator SoxS,SoxS,TF
PD00283,EG10974,b2707,srlR,G8210@EG10969@EG10970@EG10971@EG10972@EG10974@EG10973,G8210@EG10969@EG10970@EG10971@EG10972@EG10974@EG10973,,DNA-binding transcriptional repressor SrlR,SrlR,TF
EG11554-MONOMER,EG11554,b2669,stpA,G0-17082@EG10556@EG10555@EG10554@G7430@G7429@G7428@G7427@G7426@G7425@EG12845@EG11158@EG30099@EG10531@EG10114@EG10115@EG10116@EG11554,EG11158@EG30099@EG10531@EG10114@EG10115@EG10116@EG11554,G0-17082@EG10556@EG10555@EG10554@G7430@G7429@G7428@G7427@G7426@G7425@EG12845,DNA-binding transcriptional repressor StpA with RNA chaperone activity,StpA,TF
G6745-MONOMER,G6745,b1434,sutR,EG10187@G7039@EG11356@EG11355@G6744@G6745,EG10187@G7039@EG11356@EG11355@G6744@G6745,G6745,DNA-binding transcriptional dual regulator SutR,SutR,TF
PD00268,EG10989,b3118,tdcA,G7624@G7626@G7627@EG11172@EG10991@EG10990@EG10989,,G7624@G7626@G7627@EG11172@EG10991@EG10990@EG10989,DNA-binding transcriptional activator TdcA,TdcA,TF
PD03292,EG10992,b3119,tdcR,G7624@G7626@G7627@EG11172@EG10991@EG10990@EG10989,,G7624@G7626@G7627@EG11172@EG10991@EG10990@EG10989,DNA-binding transcriptional activator TdcR,TdcR,TF
TORR-CPLX,EG12615,b0995,torR,EG12615,EG12243@EG50009@EG12615,EG11400@EG11399@EG11398@EG11815@EG11814@EG12195@EG11276@EG11005@EG11006,DNA-binding transcriptional dual regulator TorR,TorR,TF
CPLX0-7854,EG12202,b4241,treR,EG11402@EG12127,EG11402@EG12127,,DNA-binding transcriptional repressor TreR,TreR,TF
CPLX-125,EG11029,b4393,trpR,EG11029@EG11024@EG11025@EG11026@EG11027@EG11028@EG11274@EG10617@EG10082@EG11093@EG10083@EG10080,EG11029@EG11024@EG11025@EG11026@EG11027@EG11028@EG11274@EG10617@EG10082@EG11093@EG10083@EG10080,,DNA-binding transcriptional repressor TrpR-L-tryptophan,TrpR,TF
PD00413,EG11042,b1323,tyrR,EG11042@EG11041,EG11042@EG11041@EG11040@EG10084@EG10082@EG11093@EG10083@EG11039@EG10078@EG10079,EG10326@EG10617@EG11041,DNA-binding transcriptional dual regulator TyrR,TyrR,TF
CPLX0-7754,EG11051,b3669,uhpA,EG11054,,EG11054,DNA-binding transcriptional activator UhpA-phosphorylated,UhpA,TF
G6867-MONOMER,G6867,b1618,uidR,G6867@G6866@EG11658@EG11055,G6867@G6866@EG11658@EG11055,,DNA-binding transcriptional repressor UidR,UidR,TF
G7854-MONOMER,G7854,b4191,ulaR,G7855@G7860@G7859@G7858@EG12495@EG12494@G7856,G7855@G7860@G7859@G7858@EG12495@EG12494@G7856,,DNA-binding transcriptional repressor UlaR,UlaR,TF
MONOMER0-1,EG11140,b1914,uvrY,EG12712@G0-8874@G0-8785@EG11054@G6791,,EG12712@G0-8874@G0-8785@EG11054@G6791,DNA-binding transcriptional activator UvrY-phosphorylated,UvrY,TF
EG20249-MONOMER,EG20249,b4324,uxuR,G7945@G7944@EG12739@EG12563@G6866@EG11658@EG11055@EG20249@EG20248@EG11066,G7945@G7944@EG12739@EG12563@G6866@EG11658@EG11055@EG20249@EG20248@EG11066,,DNA-binding transcriptional repressor UxuR,UxuR,TF
CPLX0-7681,EG11146,b2405,xapR,EG13159@G85,,EG13159@G85,XapR-xanthosine DNA-binding transcriptional activator,XapR,TF
MONOMER0-165,EG20253,b3569,xylR,EG11076@EG10054@EG20252@EG12275@EG12276@EG20253@EG11075@EG11074,EG10054,EG11076@EG20252@EG12275@EG12276@EG20253@EG11075@EG11074,DNA-binding transcriptional dual regulator XylR-&alpha;-D-xylopyranose,XylR,TF
CPLX0-8257,G6144,b0272,xynR,G6141@G6140@EG12338@EG12339@G0-10433,G6141@G6140@EG12338@EG12339@G0-10433,,XynR-D-xylonate,XynR,TF
G6638-MONOMER,G6638,b1284,yciT,G6427@G7852@EG11210@G6321,EG11210@G6321,G6427@G7852,DNA-binding transcriptional dual regulator YciT,YciT,TF
G6658-MONOMER,G6658,b1320,ycjW,G6657@G0-10445@G6656@G6655@G6654@G6653@G6652@G6651@G6650@G6649@G6648@G6647,G6657@G0-10445@G6656@G6655@G6654@G6653@G6652@G6651@G6650@G6649@G6648@G6647,,DNA-binding transcriptional repressor YcjW,YcjW,TF
G6737-MONOMER,G6737,b1422,ydcI,EG11256@G7202@G0-8905@G7080,,EG11256@G7202@G0-8905@G7080,DNA-binding transcriptional dual regulator YdcI,YdcI,TF
G6789-MONOMER,G6789,b1499,ydeO,EG11078@EG11889@EG11890@EG11877@EG11876@G0-10588@EG11380@EG11379@EG10049@EG10468@EG10469@EG10470@EG10471@EG10472@EG10473@EG12242@G6789@G6790@G0-16680@EG12241@EG12240@EG11544,G6789@G6790,EG11078@EG11889@EG11890@EG11877@EG11876@G0-10588@EG11380@EG11379@EG10049@EG10468@EG10469@EG10470@EG10471@EG10472@EG10473@EG12242@G0-16680@EG12241@EG12240@EG11544,DNA-binding transcriptional dual regulator YdeO,YdeO,TF
EG12860-MONOMER,EG12860,b1853,yebK,EG12860,EG12860,,DNA-binding transcriptional repressor YebK,YebK,TF
CPLX0-7929,EG12844,b2017,yefM,EG12844@G0-9121,EG12844@G0-9121,,antitoxin/DNA-binding transcriptional repressor YefM,YefM,TF
CPLX0-3781,G0-9121@EG12844,b4539@b2017,yoeB@yefM,EG12844@G0-9121,EG12844@G0-9121,,YefM-YoeB antitoxin/toxin complex / DNA-binding transcriptional repressor,YefM-YoeB,TF
EG12031-MONOMER,EG12031,b2163,yeiL,EG12031,,EG12031,DNA-binding transcriptional activator YeiL,YeiL,TF
EG11431-MONOMER,EG11431,b2398,yfeC,EG10892@EG10886@EG10920@EG11803@G7461@EG11431,EG10892@EG10886@EG10920@EG11803@G7461,EG11431,DNA-binding transcriptional dual regulator YfeC,YfeC,TF
G7416-MONOMER,G7416,b2735,ygbI,G7418@G7417,G7418@G7417,,DNA-binding transcriptional repressor YgbI,YgbI,TF
G7573-MONOMER,G7573,b3023,ygiV,G6761,G6761,,DNA-binding transcriptional repressor YgiV,YgiV,TF
G7619-MONOMER,G7619,b3105,yhaJ,G7619@EG11166@G7615@G7756@EG12422@G6557@G7621@G7620,,G7619@EG11166@G7615@G7756@EG12422@G6557@G7621@G7620,DNA-binding transcriptional activator YhaJ,YhaJ,TF
EG11721-MONOMER,EG11721,b3711,yidZ,EG10554@EG12352@EG10817@G6097,EG10554@EG12352@EG10817@G6097,,DNA-binding transcriptional dual regulator YidZ,YidZ,TF
G7947-MONOMER,G7947,b4365,yjjQ,EG10670@EG10319@EG10320@G6508@G0-10513@G0-10512@EG11152@EG12880@G7354@G6403,EG10670@EG10319@EG10320@G6508@G0-10513@G0-10512@EG11152@EG12880@G7354@G6403,,DNA-binding transcriptional repressor YjjQ,YjjQ,TF
G7563-MONOMER,G7563,b3010,yqhC,G7565@G7564,,G7565@G7564,DNA-binding transcriptional activator YqhC,YqhC,TF
CPLX0-7678,EG11969,b3292,zntR,EG12215,,EG12215,ZntR-Zn<sup>2+</sup> DNA-binding transcriptional activator,ZntR,TF
PHOSPHO-HYDG,EG10482,b4004,zraR,EG11006@EG11005@EG10743@EG11720@EG12834@EG12242@EG10977@G7758@EG10838@EG11151@EG30100@EG10897@EG10386@EG10383@EG11355@EG12739@G7816@EG10266@G7699@G7954@EG12203@EG10482@EG10008@EG11918,,EG11006@EG11005@EG10743@EG11720@EG12834@EG12242@EG10977@G7758@EG10838@EG11151@EG30100@EG10897@EG10386@EG10383@EG11355@EG12739@G7816@EG10266@G7699@G7954@EG12203@EG10482@EG10008@EG11918,DNA-binding transcriptional activator ZraR-phosphorylated,ZraR,TF
CPLX0-7680,EG11929,b4046,zur,G6167@G0-10434@G6615@G7061@EG12368@G7018@G7017,G6167@G0-10434@G6615@G7061@EG12368@G7018@G7017,,Zur-Zn<sup>2+</sup> DNA-binding transcriptional repressor,Zur,TF
EG10291,EG10291,b4293,fecI,EG10290@EG10289@EG10288@EG10287@EG10286,,EG10290@EG10289@EG10288@EG10287@EG10286,RNA polymerase sigma factor FecI,FecI,sigma
EG11355,EG11355,b1922,fliA,G6562@G369@EG12252@G6623@G7595@EG10674@EG10675@EG10676@EG10677@EG10678@G0-17102@EG10321@EG11034@EG12227@EG11347@EG11654@EG11656@G377@G378@G379@EG11955@EG10432@G0-17101@EG11545@EG11967@G6833@EG12861@EG11346@G6938@G7039@EG11356@EG11355@G7418@EG10152@EG10002@EG12427@G0-17103@EG10149@EG10146@EG10602@EG10601@EG11389@EG11388@EG10841@G6120@G6121@G0-10432@G6122@G6123@G6124@G6125@EG11018@G6955@G7823@EG11210@EG10774@EG11294@EG11293@EG10151@EG10150@EG10147@EG10148@EG10987@EG10988@EG11977@EG11976@EG11975@EG11224@EG10324@EG10323@EG10322@EG12081@EG11156@EG11155@EG11154@EG10825,,G6562@G369@EG12252@G6623@G7595@EG10674@EG10675@EG10676@EG10677@EG10678@G0-17102@EG10321@EG11034@EG12227@EG11347@EG11654@EG11656@G377@G378@G379@EG11955@EG10432@G0-17101@EG11545@EG11967@G6833@EG12861@EG11346@G6938@G7039@EG11356@EG11355@G7418@EG10152@EG10002@EG12427@G0-17103@EG10149@EG10146@EG10602@EG10601@EG11389@EG11388@EG10841@G6120@G6121@G0-10432@G6122@G6123@G6124@G6125@EG11018@G6955@G7823@EG11210@EG10774@EG11294@EG11293@EG10151@EG10150@EG10147@EG10148@EG10987@EG10988@EG11977@EG11976@EG11975@EG11224@EG10324@EG10323@EG10322@EG12081@EG11156@EG11155@EG11154@EG10825,RNA polymerase sigma factor FliA,FliA,sigma
